name,code,ticker_yf,market
3S,060310,060310.KQ,KOSDAQ
APS,054620,054620.KQ,KOSDAQ
AP시스템,265520,265520.KQ,KOSDAQ
AP위성,211270,211270.KQ,KOSDAQ
BF랩스,139050,139050.KQ,KOSDAQ
BGF에코머티리얼즈,126600,126600.KQ,KOSDAQ
CG인바이츠,083790,083790.KQ,KOSDAQ
CJ 바이오사이언스,311690,311690.KQ,KOSDAQ
CJ프레시웨이,051500,051500.KQ,KOSDAQ
CMG제약,058820,058820.KQ,KOSDAQ
CNT85,056730,056730.KQ,KOSDAQ
CS,065770,065770.KQ,KOSDAQ
CSA 코스믹,083660,083660.KQ,KOSDAQ
DB금융스팩12호,477760,477760.KQ,KOSDAQ
DGI,099520,099520.KQ,KOSDAQ
DH오토리드,290120,290120.KQ,KOSDAQ
DH오토웨어,025440,025440.KQ,KOSDAQ
DMS,068790,068790.KQ,KOSDAQ
DSC인베스트먼트,241520,241520.KQ,KOSDAQ
DXVX,180400,180400.KQ,KOSDAQ
E8,418620,418620.KQ,KOSDAQ
EDGC,245620,245620.KQ,KOSDAQ
EG,037370,037370.KQ,KOSDAQ
ES큐브,050120,050120.KQ,KOSDAQ
FSN,214270,214270.KQ,KOSDAQ
GH신소재,130500,130500.KQ,KOSDAQ
GRT,900290,900290.KQ,KOSDAQ
GST,083450,083450.KQ,KOSDAQ
HB솔루션,297890,297890.KQ,KOSDAQ
HB인베스트먼트,440290,440290.KQ,KOSDAQ
HB테크놀러지,078150,078150.KQ,KOSDAQ
HC보광산업,225530,225530.KQ,KOSDAQ
HC홈센타,060560,060560.KQ,KOSDAQ
HEM파마,376270,376270.KQ,KOSDAQ
HLB,028300,028300.KQ,KOSDAQ
HLB바이오스텝,278650,278650.KQ,KOSDAQ
HLB생명과학,067630,067630.KQ,KOSDAQ
HLB이노베이션,024850,024850.KQ,KOSDAQ
HLB제넥스,187420,187420.KQ,KOSDAQ
HLB제약,047920,047920.KQ,KOSDAQ
HLB테라퓨틱스,115450,115450.KQ,KOSDAQ
HLB파나진,046210,046210.KQ,KOSDAQ
HLB펩,196300,196300.KQ,KOSDAQ
HRS,036640,036640.KQ,KOSDAQ
IBKS제23호스팩,467930,467930.KQ,KOSDAQ
IBKS제24호스팩,469480,469480.KQ,KOSDAQ
IBKS제25호스팩,0099X0,0099X0.KQ,KOSDAQ
JTC,950170,950170.KQ,KOSDAQ
JW신약,067290,067290.KQ,KOSDAQ
KBG,318000,318000.KQ,KOSDAQ
KBI메탈,024840,024840.KQ,KOSDAQ
KB오토시스,024120,024120.KQ,KOSDAQ
KB제27호스팩,464680,464680.KQ,KOSDAQ
KB제29호스팩,478390,478390.KQ,KOSDAQ
KB제30호스팩,486630,486630.KQ,KOSDAQ
KB제31호스팩,492220,492220.KQ,KOSDAQ
KB제32호스팩,0037T0,0037T0.KQ,KOSDAQ
KB제33호스팩,0072Z0,0072Z0.KQ,KOSDAQ
KCC건설,021320,021320.KQ,KOSDAQ
KD,044180,044180.KQ,KOSDAQ
KG모빌리언스,046440,046440.KQ,KOSDAQ
KG에코솔루션,151860,151860.KQ,KOSDAQ
KG이니시스,035600,035600.KQ,KOSDAQ
KH바텍,060720,060720.KQ,KOSDAQ
KNN,058400,058400.KQ,KOSDAQ
KS인더스트리,101000,101000.KQ,KOSDAQ
KT나스미디어,089600,089600.KQ,KOSDAQ
KT밀리의서재,418470,418470.KQ,KOSDAQ
KT지니뮤직,043610,043610.KQ,KOSDAQ
KX,122450,122450.KQ,KOSDAQ
KX하이텍,052900,052900.KQ,KOSDAQ
KZ정밀,036560,036560.KQ,KOSDAQ
LB세미콘,061970,061970.KQ,KOSDAQ
LB인베스트먼트,309960,309960.KQ,KOSDAQ
LK삼양,225190,225190.KQ,KOSDAQ
LS마린솔루션,060370,060370.KQ,KOSDAQ
LS머트리얼즈,417200,417200.KQ,KOSDAQ
LS증권,078020,078020.KQ,KOSDAQ
LS티라유텍,322180,322180.KQ,KOSDAQ
M83,476080,476080.KQ,KOSDAQ
MDS테크,086960,086960.KQ,KOSDAQ
NEW,160550,160550.KQ,KOSDAQ
NE능률,053290,053290.KQ,KOSDAQ
NHN KCP,060250,060250.KQ,KOSDAQ
NHN벅스,104200,104200.KQ,KOSDAQ
NICE인프라,063570,063570.KQ,KOSDAQ
NPX,222160,222160.KQ,KOSDAQ
PN풍년,024940,024940.KQ,KOSDAQ
PS일렉트로닉스,332570,332570.KQ,KOSDAQ
RFHIC,218410,218410.KQ,KOSDAQ
RF머트리얼즈,327260,327260.KQ,KOSDAQ
RF시스템즈,474610,474610.KQ,KOSDAQ
S&K폴리텍,091340,091340.KQ,KOSDAQ
SAMG엔터,419530,419530.KQ,KOSDAQ
SBI인베스트먼트,019550,019550.KQ,KOSDAQ
SCL사이언스,246960,246960.KQ,KOSDAQ
SDN,099220,099220.KQ,KOSDAQ
SFA반도체,036540,036540.KQ,KOSDAQ
SG,255220,255220.KQ,KOSDAQ
SG&G,040610,040610.KQ,KOSDAQ
SGA솔루션즈,184230,184230.KQ,KOSDAQ
SGC E&C,016250,016250.KQ,KOSDAQ
SKAI,357880,357880.KQ,KOSDAQ
SM C&C,048550,048550.KQ,KOSDAQ
SM Life Design,063440,063440.KQ,KOSDAQ
SV인베스트먼트,289080,289080.KQ,KOSDAQ
THE CUBE&,013720,013720.KQ,KOSDAQ
THE E&M,089230,089230.KQ,KOSDAQ
TJ미디어,032540,032540.KQ,KOSDAQ
TPC,048770,048770.KQ,KOSDAQ
TS인베스트먼트,246690,246690.KQ,KOSDAQ
TS트릴리온,317240,317240.KQ,KOSDAQ
YBM넷,057030,057030.KQ,KOSDAQ
YTN,040300,040300.KQ,KOSDAQ
YW,051390,051390.KQ,KOSDAQ
iMBC,052220,052220.KQ,KOSDAQ
가비아,079940,079940.KQ,KOSDAQ
가온그룹,078890,078890.KQ,KOSDAQ
가온칩스,399720,399720.KQ,KOSDAQ
감성코퍼레이션,036620,036620.KQ,KOSDAQ
강동씨앤엘,198440,198440.KQ,KOSDAQ
강스템바이오텍,217730,217730.KQ,KOSDAQ
강원에너지,114190,114190.KQ,KOSDAQ
갤럭시아머니트리,094480,094480.KQ,KOSDAQ
경남스틸,039240,039240.KQ,KOSDAQ
경남제약,053950,053950.KQ,KOSDAQ
경동제약,011040,011040.KQ,KOSDAQ
경창산업,024910,024910.KQ,KOSDAQ
고려신용정보,049720,049720.KQ,KOSDAQ
고려제약,014570,014570.KQ,KOSDAQ
고바이오랩,348150,348150.KQ,KOSDAQ
고스트스튜디오,950190,950190.KQ,KOSDAQ
고영,098460,098460.KQ,KOSDAQ
골드앤에스,035290,035290.KQ,KOSDAQ
골프존홀딩스,121440,121440.KQ,KOSDAQ
공구우먼,366030,366030.KQ,KOSDAQ
광무,029480,029480.KQ,KOSDAQ
광진실업,026910,026910.KQ,KOSDAQ
교보15호스팩,465320,465320.KQ,KOSDAQ
교보16호스팩,482520,482520.KQ,KOSDAQ
교보17호스팩,489210,489210.KQ,KOSDAQ
교보18호스팩,0041B0,0041B0.KQ,KOSDAQ
교보19호스팩,0098T0,0098T0.KQ,KOSDAQ
구영테크,053270,053270.KQ,KOSDAQ
국보디자인,066620,066620.KQ,KOSDAQ
국순당,043650,043650.KQ,KOSDAQ
국영지앤엠,006050,006050.KQ,KOSDAQ
국일신동,060480,060480.KQ,KOSDAQ
국일제지,078130,078130.KQ,KOSDAQ
국전약품,307750,307750.KQ,KOSDAQ
그래디언트,035080,035080.KQ,KOSDAQ
그래피,318060,318060.KQ,KOSDAQ
그리드위즈,453450,453450.KQ,KOSDAQ
그리티,204020,204020.KQ,KOSDAQ
그린광학,0015G0,0015G0.KQ,KOSDAQ
그린리소스,402490,402490.KQ,KOSDAQ
그린생명과학,114450,114450.KQ,KOSDAQ
그린플러스,186230,186230.KQ,KOSDAQ
글로벌에스엠,900070,900070.KQ,KOSDAQ
글로벌텍스프리,204620,204620.KQ,KOSDAQ
글로본,019660,019660.KQ,KOSDAQ
금강철강,053260,053260.KQ,KOSDAQ
금양그린파워,282720,282720.KQ,KOSDAQ
금화피에스시,036190,036190.KQ,KOSDAQ
기가레인,049080,049080.KQ,KOSDAQ
기가비스,420770,420770.KQ,KOSDAQ
기산텔레콤,035460,035460.KQ,KOSDAQ
꿈비,407400,407400.KQ,KOSDAQ
나노,187790,187790.KQ,KOSDAQ
나노신소재,121600,121600.KQ,KOSDAQ
나노실리칸첨단소재,286750,286750.KQ,KOSDAQ
나노씨엠에스,247660,247660.KQ,KOSDAQ
나노엔텍,039860,039860.KQ,KOSDAQ
나노캠텍,091970,091970.KQ,KOSDAQ
나노팀,417010,417010.KQ,KOSDAQ
나라셀라,405920,405920.KQ,KOSDAQ
나라스페이스테크놀로지,478340,478340.KQ,KOSDAQ
나라엠앤디,051490,051490.KQ,KOSDAQ
나래나노텍,137080,137080.KQ,KOSDAQ
나무가,190510,190510.KQ,KOSDAQ
나무기술,242040,242040.KQ,KOSDAQ
나우IB,293580,293580.KQ,KOSDAQ
나우로보틱스,459510,459510.KQ,KOSDAQ
나이벡,138610,138610.KQ,KOSDAQ
나이스디앤비,130580,130580.KQ,KOSDAQ
나이스정보통신,036800,036800.KQ,KOSDAQ
나인테크,267320,267320.KQ,KOSDAQ
남화산업,111710,111710.KQ,KOSDAQ
남화토건,091590,091590.KQ,KOSDAQ
내츄럴엔도텍,168330,168330.KQ,KOSDAQ
네오리진,094860,094860.KQ,KOSDAQ
네오셈,253590,253590.KQ,KOSDAQ
네오오토,212560,212560.KQ,KOSDAQ
네오위즈,095660,095660.KQ,KOSDAQ
네오위즈홀딩스,042420,042420.KQ,KOSDAQ
네오이뮨텍,950220,950220.KQ,KOSDAQ
네오크레마,311390,311390.KQ,KOSDAQ
네오티스,085910,085910.KQ,KOSDAQ
네오팜,092730,092730.KQ,KOSDAQ
네오펙트,290660,290660.KQ,KOSDAQ
네이블,153460,153460.KQ,KOSDAQ
네이처셀,007390,007390.KQ,KOSDAQ
네패스,033640,033640.KQ,KOSDAQ
네패스아크,330860,330860.KQ,KOSDAQ
넥사다이내믹스,351320,351320.KQ,KOSDAQ
넥스턴앤롤코리아,089140,089140.KQ,KOSDAQ
넥스트바이오메디컬,389650,389650.KQ,KOSDAQ
넥스트아이,137940,137940.KQ,KOSDAQ
넥스트칩,396270,396270.KQ,KOSDAQ
넥슨게임즈,225570,225570.KQ,KOSDAQ
넥써쓰,205500,205500.KQ,KOSDAQ
넵튠,217270,217270.KQ,KOSDAQ
노랑풍선,104620,104620.KQ,KOSDAQ
노머스,473980,473980.KQ,KOSDAQ
노바렉스,194700,194700.KQ,KOSDAQ
노바텍,285490,285490.KQ,KOSDAQ
노브랜드,145170,145170.KQ,KOSDAQ
노블엠앤비,106520,106520.KQ,KOSDAQ
노을,376930,376930.KQ,KOSDAQ
노타,486990,486990.KQ,KOSDAQ
녹십자엠에스,142280,142280.KQ,KOSDAQ
녹십자웰빙,234690,234690.KQ,KOSDAQ
농우바이오,054050,054050.KQ,KOSDAQ
누리플랜,069140,069140.KQ,KOSDAQ
누리플렉스,040160,040160.KQ,KOSDAQ
누보,332290,332290.KQ,KOSDAQ
뉴로메카,348340,348340.KQ,KOSDAQ
뉴로핏,380550,380550.KQ,KOSDAQ
뉴보텍,060260,060260.KQ,KOSDAQ
뉴엔AI,463020,463020.KQ,KOSDAQ
뉴온,123840,123840.KQ,KOSDAQ
뉴인텍,012340,012340.KQ,KOSDAQ
뉴키즈온,462310,462310.KQ,KOSDAQ
뉴트리,270870,270870.KQ,KOSDAQ
뉴파워프라즈마,144960,144960.KQ,KOSDAQ
뉴프렉스,085670,085670.KQ,KOSDAQ
다날,064260,064260.KQ,KOSDAQ
다보링크,340360,340360.KQ,KOSDAQ
다산네트웍스,039560,039560.KQ,KOSDAQ
다산디엠씨,208860,208860.KQ,KOSDAQ
다산솔루에타,154040,154040.KQ,KOSDAQ
다우데이타,032190,032190.KQ,KOSDAQ
다원넥스뷰,323350,323350.KQ,KOSDAQ
다원시스,068240,068240.KQ,KOSDAQ
닷밀,464580,464580.KQ,KOSDAQ
대동금속,020400,020400.KQ,KOSDAQ
대동기어,008830,008830.KQ,KOSDAQ
대동스틸,048470,048470.KQ,KOSDAQ
대륙제관,004780,004780.KQ,KOSDAQ
대림제지,017650,017650.KQ,KOSDAQ
대명에너지,389260,389260.KQ,KOSDAQ
대모,317850,317850.KQ,KOSDAQ
대보마그네틱,290670,290670.KQ,KOSDAQ
대봉엘에스,078140,078140.KQ,KOSDAQ
대산F&B,065150,065150.KQ,KOSDAQ
대성미생물,036480,036480.KQ,KOSDAQ
대성창투,027830,027830.KQ,KOSDAQ
대성파인텍,104040,104040.KQ,KOSDAQ
대성하이텍,129920,129920.KQ,KOSDAQ
대신밸런스제16호스팩,457630,457630.KQ,KOSDAQ
대신밸런스제17호스팩,471050,471050.KQ,KOSDAQ
대신밸런스제19호스팩,482690,482690.KQ,KOSDAQ
대신정보통신,020180,020180.KQ,KOSDAQ
대아티아이,045390,045390.KQ,KOSDAQ
대양전기공업,108380,108380.KQ,KOSDAQ
대원,007680,007680.KQ,KOSDAQ
대원미디어,048910,048910.KQ,KOSDAQ
대원산업,005710,005710.KQ,KOSDAQ
대정화금,120240,120240.KQ,KOSDAQ
대주산업,003310,003310.KQ,KOSDAQ
대주전자재료,078600,078600.KQ,KOSDAQ
대진첨단소재,393970,393970.KQ,KOSDAQ
대창솔루션,096350,096350.KQ,KOSDAQ
대창스틸,140520,140520.KQ,KOSDAQ
대한과학,131220,131220.KQ,KOSDAQ
대한광통신,010170,010170.KQ,KOSDAQ
대한뉴팜,054670,054670.KQ,KOSDAQ
대한약품,023910,023910.KQ,KOSDAQ
대호특수강,021040,021040.KQ,KOSDAQ
대호특수강우,021045,021045.KQ,KOSDAQ
대화제약,067080,067080.KQ,KOSDAQ
더네이쳐홀딩스,298540,298540.KQ,KOSDAQ
더라미,032860,032860.KQ,KOSDAQ
더블유에스아이,299170,299170.KQ,KOSDAQ
더즌,462860,462860.KQ,KOSDAQ
더코디,224060,224060.KQ,KOSDAQ
더테크놀로지,043090,043090.KQ,KOSDAQ
더핑크퐁컴퍼니,403850,403850.KQ,KOSDAQ
덕산테코피아,317330,317330.KQ,KOSDAQ
덕산하이메탈,077360,077360.KQ,KOSDAQ
덕신이피씨,090410,090410.KQ,KOSDAQ
덕양에너젠,0001A0,0001A0.KQ,KOSDAQ
덕우전자,263600,263600.KQ,KOSDAQ
데브시스터즈,194480,194480.KQ,KOSDAQ
데이원컴퍼니,373160,373160.KQ,KOSDAQ
데이타솔루션,263800,263800.KQ,KOSDAQ
덱스터,206560,206560.KQ,KOSDAQ
덴티스,261200,261200.KQ,KOSDAQ
도우인시스,484120,484120.KQ,KOSDAQ
도이치모터스,067990,067990.KQ,KOSDAQ
동구바이오제약,006620,006620.KQ,KOSDAQ
동국S&C,100130,100130.KQ,KOSDAQ
동국산업,005160,005160.KQ,KOSDAQ
동국생명과학,303810,303810.KQ,KOSDAQ
동국알앤에스,075970,075970.KQ,KOSDAQ
동방메디컬,240550,240550.KQ,KOSDAQ
동방선기,099410,099410.KQ,KOSDAQ
동성화인텍,033500,033500.KQ,KOSDAQ
동신건설,025950,025950.KQ,KOSDAQ
동아엘텍,088130,088130.KQ,KOSDAQ
동아화성,041930,041930.KQ,KOSDAQ
동양에스텍,060380,060380.KQ,KOSDAQ
동양이엔피,079960,079960.KQ,KOSDAQ
동양파일,228340,228340.KQ,KOSDAQ
동우팜투테이블,088910,088910.KQ,KOSDAQ
동운아나텍,094170,094170.KQ,KOSDAQ
동원개발,013120,013120.KQ,KOSDAQ
동일금속,109860,109860.KQ,KOSDAQ
동일기연,032960,032960.KQ,KOSDAQ
동일스틸럭스,023790,023790.KQ,KOSDAQ
동진쎄미켐,005290,005290.KQ,KOSDAQ
듀오백,073190,073190.KQ,KOSDAQ
듀켐바이오,176750,176750.KQ,KOSDAQ
드래곤플라이,030350,030350.KQ,KOSDAQ
드림시큐리티,203650,203650.KQ,KOSDAQ
드림씨아이에스,223250,223250.KQ,KOSDAQ
드림어스컴퍼니,060570,060570.KQ,KOSDAQ
드림인사이트,362990,362990.KQ,KOSDAQ
디모아,016670,016670.KQ,KOSDAQ
디바이스,187870,187870.KQ,KOSDAQ
디비금융제13호스팩,489730,489730.KQ,KOSDAQ
디비금융제14호스팩,0004Y0,0004Y0.KQ,KOSDAQ
디아이티,110990,110990.KQ,KOSDAQ
디알젬,263690,263690.KQ,KOSDAQ
디알텍,214680,214680.KQ,KOSDAQ
디앤디파마텍,347850,347850.KQ,KOSDAQ
디앤씨미디어,263720,263720.KQ,KOSDAQ
디어유,376300,376300.KQ,KOSDAQ
디에스케이,109740,109740.KQ,KOSDAQ
디에이치엑스컴퍼니,031860,031860.KQ,KOSDAQ
디에이테크놀로지,196490,196490.KQ,KOSDAQ
디에이피,066900,066900.KQ,KOSDAQ
디엔에프,092070,092070.KQ,KOSDAQ
디오,039840,039840.KQ,KOSDAQ
디와이디,219550,219550.KQ,KOSDAQ
디와이씨,310870,310870.KQ,KOSDAQ
